Market	Symbol	Description
XTSE	CLR.DB.A	Clearwater Seafoods Inc Ser 07 7.25 Debs
XTSE	CLS	Celestica Inc. Sv
XTSE	CLT	Celtic Exploration Ltd.
XTSE	CLT.DB	Celtic Exploration Ltd 5 Pct Debs
XTSE	CLU	Ishares US Fundamental Index Fund
XTSE	CLU.A	Ishares US Fundamental Index Fund AC
XTSE	CLU.B	Ishares US Fundamental Index Fund Nh AC
XTSE	CLU.C	Ishares US Fundamental Index Fund Nh
XTSE	CM	Canadian Imperial Bank Of Commerce
XTSE	CM.PR.D	Cdn Imp Bank Ser 26
XTSE	CM.PR.E	Cibc Pr.A Ser 27
XTSE	CM.PR.G	Cdn Imp Bank Of Com. Cl. A Pr. Ser 29
XTSE	CM.PR.K	Cibc Non-Cum Pref Cl A Ser 33
XTSE	CM.PR.L	Cibc Non-Cum Pref Cl A Ser 35
XTSE	CM.PR.M	Cibc Cl. A Pref Series 37
XTSE	CMF	Claymore Managed Futures ETF
XTSE	CMG	Computer Modelling Group Ltd
XTSE	CMH	Carmanah Technologies Corp.
XTSE	CMK	Cline Mining Corp
XTSE	CML	Crowflight Minerals Inc
XTSE	CMP.UN	Cmp Gold Trust Units
XTSE	CMP.WT.B	Cmp Gold Trust Wts Srs B
XTSE	CMR	Claymore Premium Money Market ETF
XTSE	CMW	Claymore S&P/Tsx Glbl Mining ETF Common
XTSE	CMW.A	Claymore S&P/Tsx Glbl Mining ETF Advsr
XTSE	CMZ.UN	Compass Income Fund
XTSE	CNE	Canacol Energy Ltd
XTSE	CNE.DB	Canacol Energy Ltd 8 Ptc Debs
XTSE	CNJ	Cangene Corp
XTSE	CNL	Continental Gold Ltd
XTSE	CNQ	Cdn Natural Res
XTSE	CNR	Canadian National Railway Co.
XTSE	CNV.UN	Convertible & Yield Advantage Trust
XTSE	COA	Coastal Contacts Inc.
XTSE	COM	Cardiome Pharma Corp
XTSE	COP	Coro Mining Corp.
XTSE	COS	Canadian Oil Sands Limited
XTSE	COW	Claymore Global Agr ETF Commonunits
XTSE	COW.A	Claymore Global Agr Etfclass A
XTSE	COX.UN	Coxe Commodity Strategy Fund Units
XTSE	CP	Canadian Pacific Railway Limited
XTSE	CPD	Claymore S&P/Tsx Cdn Pref Share ETF Com
XTSE	CPD.A	Claymore S&P/Tsx Cdn Pref Share ETF Adv
XTSE	CPF.UN	Cdn 50 Adv Pref Sh Fd
XTSE	CPG	Crescent Point Energy Corp.
XTSE	CPI	Condor Petroleum Inc
XTSE	CPM.UN	Copernican Int L Premium Dividend Fund
XTSE	CPN	Carpathian Gold Inc.
XTSE	CPT	Coalspur Mines Limited
XTSE	CPX	Capital Power Corporation
XTSE	CPX.PR.A	Capital Power Corporation Pref Series 1
XTSE	CPX.PR.C	Capital Power Corp Pref Series 3
XTSE	CQE	Cequence Energy Ltd.
XTSE	CR	Crew Energy Inc
XTSE	CRG	Corona Gold Corp
XTSE	CRH	Crh Medical Corporation
XTSE	CRJ	Claude Res
XTSE	CRJ.DB	Claude Resources Inc. 12% Non-Conv Dbs
XTSE	CRJ.WT	Claude Resources Inc. Wts
XTSE	CRK	Crocodile Gold Corp
XTSE	CRK.WT	Crocodile Gold Corp Warrants
XTSE	CRP	Ceres Global Ag Corp.
XTSE	CRQ	Isharescanadian Fundamental Index Fd
XTSE	CRQ.A	Ishares Canadian Fundamental Index Fd AC
XTSE	CRR.DB.B	Crombie REIT 6.25 Debs
XTSE	CRR.DB.C	Crombie REIT 5.75 Debs
